state,SUM,latitude,longitude
Texas,20,31.133,-97.7944
Florida,15,25.8341,-80.2086
Florida,12,27.7753,-82.6384
Louisiana,10,29.9586,-90.0655
California,12,34.4144,-119.857
Minnesota,9,44.9827,-93.2757
Georgia,8,31.531,-83.8221
Florida,9,25.8343,-80.2167
Texas,8,32.7673,-96.779
Louisiana,8,30.0227,-90.0508
Michigan,8,42.3728,-83.2434
South Carolina,8,32.885,-80.6203
California,7,37.7832,-122.411
Tennessee,7,35.1688,-89.9749
Ohio,7,41.4425,-82.6854
Illinois,7,41.7519,-87.559
California,7,37.9565,-121.757
Virginia,7,36.8784,-76.2968
Indiana,7,39.8686,-86.1313
Massachusetts,7,41.6872,-70.9263
Texas,7,30.0195,-95.3757
California,7,33.8836,-117.222
Maryland,7,39.2899,-76.6412
Florida,7,28.5979,-81.2734
Georgia,7,34.0105,-84.5977
California,7,38.6051,-121.505
California,7,38.6235,-121.525
Illinois,7,41.8727,-87.6963
Florida,6,26.1661,-80.1036
Illinois,6,41.8907,-87.7483
Texas,6,30.3031,-97.6572
Illinois,6,41.7289,-88.3104
New Jersey,6,40.9207,-74.1591
Texas,6,29.6121,-95.3957
New Jersey,6,40.7172,-74.2289
District of Columbia,6,38.8745,-77.0174
Georgia,6,32.7177,-82.7167
Utah,6,40.764,-111.895
California,6,34.0199,-118.26
Alaska,6,61.2178,-149.88
Texas,6,31.7573,-106.493
Pennsylvania,6,40.4591,-79.7423
California,6,37.77,-122.42
Louisiana,7,29.9594,-90.0192
Illinois,6,41.8789,-87.7338
Illinois,6,41.8895,-87.7505
South Carolina,6,33.1711,-80.1311
California,6,34.0912,-118.291
Pennsylvania,6,40.4578,-79.9742
Michigan,6,42.4338,-83.034
Missouri,6,38.5616,-90.2492
Louisiana,5,29.9435,-90.0836
District of Columbia,5,38.8978,-76.9717
Tennessee,5,35.0803,-89.8871
Wisconsin,5,43.0716,-87.9486
Florida,5,25.7806,-80.263
Indiana,5,41.5781,-87.3371
Nevada,5,36.1442,-115.137
Indiana,5,41.0173,-85.1191
North Carolina,5,35.3053,-80.857
Mississippi,5,33.4525,-88.8175
Illinois,5,41.7748,-87.6231
New York,5,42.7208,-73.6913
Georgia,5,33.6982,-84.4862
District of Columbia,5,38.9192,-76.9749
Tennessee,5,35.0782,-89.9923
Massachusetts,5,42.6235,-71.3269
Wisconsin,5,43.0715,-87.9424
Pennsylvania,5,39.8531,-75.3584
Virginia,5,36.8259,-76.2624
Illinois,5,38.5801,-90.1232
Illinois,5,41.4975,-87.6646
Rhode Island,5,41.8413,-71.4255
Washington,5,47.4904,-122.239
Connecticut,5,41.0535,-73.5423
Missouri,5,38.6717,-90.2098
Tennessee,5,35.6117,-87.0298
Missouri,5,38.6904,-90.2434
Georgia,5,33.7635,-84.4235
Wisconsin,5,43.0715,-87.9436
Tennessee,5,35.1062,-89.859
California,5,37.6769,-121.779
California,5,34.1085,-117.233
Michigan,5,43.0381,-83.7044
Georgia,5,32.8349,-83.6299
Louisiana,5,30.0111,-90.0097
Missouri,5,38.6717,-90.2098
Michigan,5,42.2653,-83.1585
New York,5,43.1015,-75.2285
Tennessee,5,35.2205,-89.9272
Washington,5,47.665,-122.313
California,5,34.0901,-117.745
Tennessee,5,35.0246,-85.2711
Virginia,5,37.0233,-76.4461
Florida,5,28.0323,-82.4531
Arkansas,8,35.8423,-90.7043
California,7,34.286,-118.446
Oklahoma,6,34.1806,-97.1348
Illinois,5,41.8016,-87.6429
Washington,5,47.6,-122.332
Texas,5,32.7898,-97.3493
Florida,5,30.3085,-81.7133
Pennsylvania,5,40.4558,-79.9028
Indiana,5,39.7276,-86.1308
Georgia,5,33.7555,-84.3771
Alabama,5,31.2722,-86.2531
Oregon,5,45.5202,-122.538
California,5,34.1214,-117.278
California,5,38.6041,-121.402
Tennessee,5,35.9552,-83.9363
Pennsylvania,5,40.0247,-75.1239
South Carolina,5,34.2594,-79.7687
Oklahoma,5,35.4349,-97.4858
North Carolina,5,36.066,-79.7908
Ohio,5,41.062,-81.4617
Colorado,5,39.7427,-105.025
Florida,5,25.7874,-80.1991
Pennsylvania,4,40.3467,-79.8559
California,4,37.9656,-121.718
Michigan,4,42.3872,-83.0922
California,4,33.9593,-118.278
Iowa,4,41.6133,-93.6033
Virginia,4,38.7739,-77.5016
Florida,4,26.6868,-80.6739
North Carolina,4,35.9335,-77.8189
Louisiana,4,30.0164,-90.0218
Oklahoma,4,35.4829,-97.6405
Michigan,4,43.4306,-83.9316
Tennessee,4,35.2062,-89.9146
California,4,33.7869,-118.278
California,4,33.7869,-118.278
Florida,4,25.835,-80.2188
Michigan,4,42.3781,-83.0151
Tennessee,4,35.6614,-88.8551
Wisconsin,4,43.0929,-87.9405
